,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,43.56,92,35,2.08,NZ,1612367363
1,Albany,42.6001,-73.9662,30.99,72,100,3.0,US,1612367286
2,Greymouth,-42.4667,171.2,56.61,88,13,6.11,NZ,1612367365
3,Ushuaia,-54.8,-68.3,53.6,50,40,26.46,AR,1612367367
4,Hofn,64.2539,-15.2082,33.8,64,75,11.5,IS,1612367368
5,Coquimbo,-29.9533,-71.3436,66.2,68,0,12.66,CL,1612367369
6,Aksu,41.1231,80.2644,29.14,78,0,4.83,CN,1612367370
7,Hobart,-42.8794,147.3294,59.0,94,90,1.14,AU,1612367365
8,Salto,-31.3833,-57.9667,70.0,100,75,8.05,UY,1612367372
9,Katsuura,35.1333,140.3,44.6,39,75,11.5,JP,1612367373
10,Coyhaique,-45.5752,-72.0662,68.0,56,0,4.61,CL,1612367133
11,Dikson,73.5069,80.5464,-6.02,90,100,15.14,RU,1612367376
12,Bandarbeyla,9.4942,50.8122,74.37,65,64,21.21,SO,1612367377
13,Mar del Plata,-38.0023,-57.5575,71.6,68,75,13.8,AR,1612367286
14,Açu,-5.5767,-36.9086,98.6,30,40,11.5,BR,1612367379
15,Port Macquarie,-31.4333,152.9167,66.0,96,34,3.24,AU,1612367380
16,Nísia Floresta,-6.0911,-35.2086,87.8,58,40,19.57,BR,1612367381
17,Bethel,41.3712,-73.414,30.99,69,90,10.36,US,1612367382
18,Punta Arenas,-53.15,-70.9167,59.0,58,75,18.41,CL,1612367383
19,Lubango,-14.9172,13.4925,78.8,74,40,9.22,AO,1612367306
20,Hithadhoo,-0.6,73.0833,83.52,71,85,9.28,MV,1612367385
21,Batemans Bay,-35.7167,150.1833,58.08,87,41,4.65,AU,1612367387
22,Nikolskoye,59.7035,30.7861,25.0,93,90,2.24,RU,1612367388
23,Upernavik,72.7868,-56.1549,-13.27,78,9,3.67,GL,1612367389
24,Marawi,7.9986,124.2928,80.01,86,98,5.99,PH,1612367390
25,Thompson,55.7435,-97.8558,8.6,78,90,17.27,CA,1612367391
26,Clonakilty,51.6231,-8.8706,50.0,71,75,19.57,IE,1612367219
27,East London,-33.0153,27.9116,84.2,39,20,8.05,ZA,1612367285
28,Castro,-24.7911,-50.0119,82.26,63,27,3.18,BR,1612367394
29,Pilar,-9.5972,-35.9567,87.8,58,75,14.97,BR,1612367395
30,Grindavik,63.8424,-22.4338,37.4,75,75,27.63,IS,1612367396
31,El Alto,-4.2714,-81.2147,80.6,54,0,20.71,PE,1612367398
32,Jumla,29.2747,82.1838,33.48,79,42,3.71,NP,1612367399
33,Puerto Ayora,-0.7393,-90.3518,82.4,69,75,9.22,EC,1612367400
34,Campina Verde,-19.5356,-49.4864,92.32,44,5,3.11,BR,1612367401
35,Katherine,-14.4667,132.2667,82.4,83,85,8.05,AU,1612367402
36,Kuytun,54.3419,101.5036,16.34,97,100,7.09,RU,1612367410
37,Cape Town,-33.9258,18.4232,75.2,57,0,18.41,ZA,1612367412
38,Tasiilaq,65.6145,-37.6368,27.75,97,100,21.21,GL,1612367413
39,Ewo,-0.8725,14.8206,91.15,47,68,2.95,CG,1612367414
40,Airai,-8.9266,125.4092,60.93,100,100,3.96,TL,1612367415
41,Sørland,67.667,12.6934,30.2,59,40,18.41,NO,1612367416
42,Atlantic Beach,30.3344,-81.3987,46.0,52,1,12.66,US,1612367417
43,Pacific Grove,36.6177,-121.9166,45.0,93,1,4.61,US,1612367280
44,Aykhal,66.0,111.5,-25.85,83,100,2.91,RU,1612367420
