,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,30.0,88,100,1.01,US,1612292778
1,Kjøllefjord,70.9457,27.3465,24.8,86,90,14.97,NO,1612292779
2,Karratha,-20.7377,116.8463,81.0,82,87,15.99,AU,1612292780
3,Carnarvon,-24.8667,113.6333,75.2,100,40,21.85,AU,1612292782
4,Ponta do Sol,32.6667,-17.1,61.0,87,78,3.0,PT,1612292783
5,Hualmay,-11.0964,-77.6139,75.85,63,27,10.71,PE,1612292784
6,Barrow,71.2906,-156.7887,-25.6,68,1,11.5,US,1612292785
7,Chui,-33.6971,-53.4616,84.79,53,96,2.73,UY,1612292620
8,Atuona,-9.8,-139.0333,78.1,81,0,17.6,PF,1612292787
9,Rikitea,-23.1203,-134.9692,77.81,77,56,15.95,PF,1612292557
10,Vaini,-21.2,-175.2,77.0,100,90,10.36,TO,1612292789
11,Westport,41.1415,-73.3579,35.6,75,90,18.41,US,1612292662
12,Hithadhoo,-0.6,73.0833,82.38,72,37,4.92,MV,1612292791
13,Singapore,1.2897,103.8501,78.8,83,75,9.22,SG,1612292604
14,Saint-Augustin,51.226,-58.6502,21.24,90,100,7.63,CA,1612292794
15,Arman',59.7,150.1667,-19.59,79,91,13.58,RU,1612292795
16,Kibala,9.1104,18.3463,86.0,37,0,4.12,TD,1612292796
17,Nome,64.5011,-165.4064,12.2,62,75,25.32,US,1612292797
18,Mareeba,-17.0,145.4333,73.4,94,75,1.14,AU,1612292798
19,Mataura,-46.1927,168.8643,56.37,86,100,1.57,NZ,1612292799
20,Henties Bay,-22.116,14.2845,68.0,86,10,10.36,NA,1612292800
21,Mezhdurechensk,53.6942,88.0603,20.64,96,100,2.53,RU,1612292801
22,Katobu,-4.9408,122.5276,76.1,91,95,3.18,ID,1612292802
23,Bredasdorp,-34.5322,20.0403,68.0,68,0,3.44,ZA,1612292804
24,Portland,45.5234,-122.6762,48.0,74,67,5.01,US,1612292580
25,Berlevåg,70.8578,29.0864,26.6,86,75,28.77,NO,1612292806
26,Kungurtug,50.5994,97.5228,-5.91,83,13,1.14,RU,1612292668
27,Punta Arenas,-53.15,-70.9167,69.8,49,40,17.0,CL,1612292808
28,Dikson,73.5069,80.5464,-21.91,82,0,12.17,RU,1612292809
29,Faya,18.3851,42.4509,62.6,72,0,2.59,SA,1612292810
30,Santa Maria,-29.6842,-53.8069,86.25,66,26,5.17,BR,1612292553
31,Hervey Bay,-25.2986,152.8535,73.99,94,75,10.36,AU,1612292813
32,Kaitangata,-46.2817,169.8464,58.37,80,100,4.27,NZ,1612292700
33,Cape Town,-33.9258,18.4232,71.6,68,0,14.97,ZA,1612292617
34,Pisco,-13.7,-76.2167,77.0,65,0,8.05,PE,1612292671
35,Mar del Plata,-38.0023,-57.5575,68.0,88,90,8.05,AR,1612292817
36,Burnie,-41.0667,145.9167,55.99,85,85,7.0,AU,1612292818
37,São Gabriel da Cachoeira,-0.1303,-67.0892,84.2,74,40,5.75,BR,1612292820
38,Ostrovnoy,68.0531,39.5131,24.69,96,100,18.43,RU,1612292821
39,Hermanus,-34.4187,19.2345,68.0,82,0,3.0,ZA,1612292822
40,Chokurdakh,70.6333,147.9167,-3.69,90,86,12.03,RU,1612292824
41,Clyde River,70.4692,-68.5914,-25.6,68,40,6.91,CA,1612292825
42,San Patricio,28.017,-97.5169,69.01,37,20,9.22,US,1612292826
43,Zhezkazgan,47.8043,67.7144,17.91,90,100,6.38,KZ,1612292828
44,Caravelas,-17.7125,-39.2481,83.25,64,95,9.75,BR,1612292543
45,Natal,-5.795,-35.2094,87.8,65,40,18.41,BR,1612292603
46,Maningrida,-12.0667,134.2667,77.34,91,100,8.75,AU,1612292831
47,French Harbor,16.35,-86.4333,75.99,73,20,11.5,HN,1612292832
48,Umluj,25.0213,37.2685,75.02,76,0,3.85,SA,1612292833
49,Florø,61.5996,5.0328,24.8,80,0,8.05,NO,1612292834
50,Alice Springs,-23.7,133.8833,75.2,29,85,6.91,AU,1612292835
51,Mountain Home,43.133,-115.6912,48.2,49,90,17.27,US,1612292836
52,Nantucket,41.2835,-70.0995,41.0,100,90,21.85,US,1612292838
53,Zhangjiakou,40.81,114.8794,15.49,69,100,0.49,CN,1612292839
54,Sungai Penuh,-2.0833,101.3833,64.0,96,91,3.44,ID,1612292840
55,Hamilton,39.1834,-84.5333,33.8,55,1,10.36,US,1612292733
56,Port Blair,11.6667,92.75,77.07,81,0,10.94,IN,1612292644
57,Tiksi,71.6872,128.8694,-0.63,93,100,15.75,RU,1612292843
58,Birao,10.2849,22.7882,82.31,19,0,4.36,CF,1612292844
59,Khatanga,71.9667,102.5,-30.33,84,3,9.4,RU,1612292845
